#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AOPY01001400.1       -          bacteria16S_508_mod5 -                  0 1541.1  24.0         0 1540.6  16.6   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq1400, whole genome shotgun sequence.
AOPY01001613.1       -          bacteria16S_508_mod5 -           1.9e-291  967.4  16.7  2.7e-291  967.0  11.6   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq1613, whole genome shotgun sequence.
AOPY01001580.1       -          bacteria16S_508_mod5 -           3.5e-276  916.8  17.2  4.7e-276  916.5  11.9   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq1580, whole genome shotgun sequence.
AOPY01000674.1       -          bacteria16S_508_mod5 -           3.9e-162  538.9   4.5  4.4e-162  538.7   3.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq674, whole genome shotgun sequence.
AOPY01000699.1       -          bacteria16S_508_mod5 -           2.2e-123  410.4   0.9  2.5e-123  410.3   0.6   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq699, whole genome shotgun sequence.
AOPY01000640.1       -          bacteria16S_508_mod5 -           5.6e-118  392.5   1.7  6.2e-118  392.4   1.2   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq640, whole genome shotgun sequence.
AOPY01000711.1       -          bacteria16S_508_mod5 -           8.2e-118  392.0   0.2  9.2e-118  391.8   0.2   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq711, whole genome shotgun sequence.
AOPY01000647.1       -          bacteria16S_508_mod5 -           2.2e-115  383.9   8.3  2.5e-115  383.8   5.8   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq647, whole genome shotgun sequence.
AOPY01000692.1       -          bacteria16S_508_mod5 -           4.8e-109  362.9   1.3  5.3e-109  362.8   0.9   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq692, whole genome shotgun sequence.
AOPY01000830.1       -          bacteria16S_508_mod5 -           3.4e-103  343.5   4.2  3.8e-103  343.4   2.9   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq830, whole genome shotgun sequence.
AOPY01000771.1       -          bacteria16S_508_mod5 -             1e-100  335.3   4.2  1.1e-100  335.1   2.9   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq771, whole genome shotgun sequence.
AOPY01000705.1       -          bacteria16S_508_mod5 -            4.2e-95  316.7   3.4   4.7e-95  316.5   2.3   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq705, whole genome shotgun sequence.
AOPY01000772.1       -          bacteria16S_508_mod5 -            4.8e-92  306.6   1.7   5.3e-92  306.4   1.2   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq772, whole genome shotgun sequence.
AOPY01000745.1       -          bacteria16S_508_mod5 -            1.6e-89  298.2   4.0   1.8e-89  298.0   2.8   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq745, whole genome shotgun sequence.
AOPY01000742.1       -          bacteria16S_508_mod5 -              1e-88  295.6   1.5   1.1e-88  295.4   1.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq742, whole genome shotgun sequence.
AOPY01000687.1       -          bacteria16S_508_mod5 -            2.3e-88  294.4   0.1   2.6e-88  294.2   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq687, whole genome shotgun sequence.
AOPY01000856.1       -          bacteria16S_508_mod5 -            2.4e-87  291.0   0.0   2.8e-87  290.8   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq856, whole genome shotgun sequence.
AOPY01000698.1       -          bacteria16S_508_mod5 -            9.4e-85  282.4   0.0     1e-84  282.3   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq698, whole genome shotgun sequence.
AOPY01000999.1       -          bacteria16S_508_mod5 -            3.9e-83  277.0   0.1   4.5e-83  276.9   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq999, whole genome shotgun sequence.
